,MLSNumber,Street,City,Price,BR,Bath,Footage
0,1073080,1247 Camino Del Robles,Atascadero,235000,3,2,1608.0
1,1073075,7305 San Gabriel,Atascadero,575000,4,4,3005.0
2,1073077,63 Six Flags,Buellton,545000,3,2,1504.0
3,1073070,5176 Guildford,Cambria,527000,3,2,1473.0
4,1073099,4025 Ryan,Creston,675000,3,2,1947.0
5,1073045,1129 3rd,Lompoc,299900,3,2,1621.0
6,1073017,1213 Timothy,Lompoc,325000,3,3,1612.0
7,1073097,559 Mars,Lompoc,329900,3,2,1232.0
8,1073071,2905 Alta,Los Olivos,925000,3,4,2132.0
9,1073083,1606 Mackinnon,Out Of Area,1325000,4,3,1934.0
10,1072939,1941 Fieldstone,Paso Robles,484000,3,2,1775.0
11,1073042,146 Lafayette,Salinas,449000,3,3,1443.0
12,1073082,3960 Higuera,San Luis Obispo,215000,3,2,1200.0
13,1072749,3057 Higuera,San Luis Obispo,285000,2,2,1440.0
14,1073091,Address Not Available,San Luis Obispo,550000,2,3,1591.0
15,1073084,1650 Clark,Santa Maria,59900,2,2,1056.0
16,1073078,4750 Blosser,Santa Maria,179900,3,2,1900.0
17,1073068,212 Agnes,Santa Maria,279000,3,2,1317.0
18,1073085,466 Cory,Santa Maria,393000,3,2,1469.0
19,1073066,2240 Diesel,Santa Maria,399950,4,3,1822.0
20,1072877,5701 Calle de la Rosa,Santa Maria,539000,3,2,1892.0
21,1073074,1289 Edison,Santa Ynez,739000,4,4,1990.0
22,1073087,206 Valhalla,Solvang,1375000,3,3,3157.0
23,1073069,917 Savannah,Grover Beach,580000,3,2,1823.0
24,1072903,2313 Carrizo,Lompoc,559000,5,4,2612.0
25,1073067,633 Laura,Paso Robles,355000,3,2,1174.0
26,1073032,5640 Pinehurst,San Luis Obispo,945000,4,3,2600.0
27,1073038,925 Paseo Pacifico,Atascadero,750000,4,3,2900.0
28,1073052,1774 7th,Los Osos,569000,3,2,1776.0
29,1073062,3281 Tide,Morro Bay,430000,2,2,891.0
30,1073057,255 Cedarwood,Nipomo,535000,4,2,1754.0
31,1073059,1750 19th,Oceano,749000,3,3,1902.0
32,1073058,1009 School,Santa Maria,325000,3,2,1238.0
33,1073061,4286 Brentwood,Santa Maria,399900,3,2,1896.0
