,MLSNumber,Street,City,Price,BR,Bath,Footage
96,1072974,561 14th,Grover Beach,555000,2,2,1300.0
97,1072955,312 W,Lompoc,295000,4,2,1593.0
98,1072962,1001 Date,Lompoc,299900,4,2,1272.0
99,1072992,449 Panay,Morro Bay,599900,1,2,1240.0
100,1072907,708 Heather,Nipomo,337000,3,2,1296.0
101,1072913,1430 Railroad,Oceano,319000,2,2,865.0
102,1072972,319 Primrose,Paso Robles,325000,3,2,1378.0
103,1072985,5695 Prancing Deer,Paso Robles,459000,4,2,1861.0
104,1072969,1780 Nacimiento Lake,Paso Robles,975000,3,2,1800.0
105,1072965,1053 Trevor,San Luis Obispo,599000,3,3,1756.0
106,1072970,2430 Parkhill,Santa Margarita,399900,2,1,1556.0
107,1072993,235 Western,Santa Maria,180000,2,2,1024.0
108,1072987,1720 Rio Vista,Santa Maria,279500,2,2,1078.0
109,1072966,1029 Cortez,Santa Maria,359900,3,2,1680.0
110,1072961,1175 Via Pavion,Santa Maria,389000,3,2,1592.0
111,1072880,713 Riviera,Santa Maria,395000,3,2,1416.0
112,1072947,408 Sword,Santa Maria,519000,4,3,2654.0
113,1072622,1330 Winegrape,Templeton,879000,4,4,2937.0
