,MLSNumber,Street,City,Price,BR,Bath,Footage
0,1073069,917 Savannah,Grover Beach,580000,3,2,1823.0
1,1072903,2313 Carrizo,Lompoc,559000,5,4,2612.0
2,1073067,633 Laura,Paso Robles,355000,3,2,1174.0
3,1073032,5640 Pinehurst,San Luis Obispo,945000,4,3,2600.0
4,1073038,925 Paseo Pacifico,Atascadero,750000,4,3,2900.0
5,1073052,1774 7th,Los Osos,569000,3,2,1776.0
6,1073062,3281 Tide,Morro Bay,430000,2,2,891.0
7,1073057,255 Cedarwood,Nipomo,535000,4,2,1754.0
8,1073059,1750 19th,Oceano,749000,3,3,1902.0
9,1073058,1009 School,Santa Maria,325000,3,2,1238.0
10,1073061,4286 Brentwood,Santa Maria,399900,3,2,1896.0
11,1073006,1241 Farroll,Arroyo Grande,175000,2,2,1050.0
12,1073030,1093 Grieb,Arroyo Grande,369500,2,3,1312.0
13,1073020,661 Rosemary,Arroyo Grande,1245000,4,3,3300.0
14,1072994,3967 Constellation,Lompoc,333000,4,2,1533.0
15,1073002,1437 Crown,Lompoc,359950,4,3,1936.0
16,1072787,253 Burton,Nipomo,399000,3,2,1080.0
17,1073044,1413 Vista Tesoro,Nipomo,939350,3,3,2390.0
18,1073024,1754 Shepherd,Paso Robles,275000,2,2,1088.0
19,1073014,8 Pheasant,Paso Robles,325000,2,2,1333.0
20,1072976,562 Andrea,Paso Robles,424000,3,2,1648.0
21,1073041,2638 Vineyard,Paso Robles,529900,5,2,1671.0
22,1073029,836 Saint Andrews,Paso Robles,549500,4,2,2326.0
23,1073035,200 Hilltop,Paso Robles,709000,3,2,2269.0
24,1073021,108 Erna,Pismo Beach,749777,3,2,1585.0
25,1073049,67 South,San Luis Obispo,569000,3,2,1102.0
26,1073037,170 Ramona,San Luis Obispo,799000,3,2,1776.0
27,1073013,219 Mission,San Luis Obispo,1349000,4,3,3100.0
28,1073003,1700 Lynne,Santa Maria,219900,3,3,1226.0
29,1073033,1021 Miller,Santa Maria,300000,3,2,1275.0
30,1073028,740 Linwood,Santa Maria,375000,3,2,1794.0
31,1073051,2503 Castlerock,Santa Maria,719000,4,4,3510.0
32,1073025,940 Refugio,Santa Ynez,795000,3,2,1892.0
33,1073026,26877 Cummings Valley,Tehachapi,1990000,6,7,7500.0
34,1072973,1050 Semillon,Templeton,835000,4,3,2825.0
35,1073005,1351 Newport,Arroyo Grande,849000,4,3,3076.0
36,1072924,6200 Buena,Atascadero,399000,3,2,1400.0
37,1073010,1239 Aberdeen,Grover Beach,529900,3,3,1894.0
38,1072942,2570 Rodman,Los Osos,779000,3,2,2315.0
39,1073009,350 Rennell,Morro Bay,429000,3,1,955.0
40,1072998,1010 Redberry,Nipomo,615000,3,2,1890.0
41,1073004,4320 Cascade,Paso Robles,176000,2,2,1632.0
42,1073018,5672 Silverado,Paso Robles,505000,4,3,2097.0
43,1072999,2710 Geneseo,Paso Robles,699000,7,7,3198.0
44,1072980,1871 L,San Miguel,350000,4,2,1547.0
45,1072995,820 Central,Santa Maria,273000,2,1,732.0
46,1072988,235 Cain,Santa Maria,350000,3,2,1744.0
47,1072975,265 Clubhouse,Santa Maria,595000,4,3,2252.0
48,1072990,1880 Burnt Rock,Templeton,1095000,4,5,4665.0
49,1072851,5525 Capistrano,Atascadero,169900,1,1,640.0
50,1072989,6588 Serra,Atascadero,365000,3,3,1272.0
51,1072968,6499 Serra,Atascadero,369000,3,3,1272.0
52,1072929,230 Chaney,Cayucos,795000,1,2,1092.0
53,1072826,163 Ocean View,Grover Beach,439900,3,1,991.0
54,1072974,561 14th,Grover Beach,555000,2,2,1300.0
55,1072955,312 W,Lompoc,295000,4,2,1593.0
56,1072962,1001 Date,Lompoc,299900,4,2,1272.0
57,1072992,449 Panay,Morro Bay,599900,1,2,1240.0
58,1072907,708 Heather,Nipomo,337000,3,2,1296.0
59,1072913,1430 Railroad,Oceano,319000,2,2,865.0
60,1072972,319 Primrose,Paso Robles,325000,3,2,1378.0
61,1072985,5695 Prancing Deer,Paso Robles,459000,4,2,1861.0
62,1072969,1780 Nacimiento Lake,Paso Robles,975000,3,2,1800.0
63,1072965,1053 Trevor,San Luis Obispo,599000,3,3,1756.0
64,1072970,2430 Parkhill,Santa Margarita,399900,2,1,1556.0
65,1072993,235 Western,Santa Maria,180000,2,2,1024.0
66,1072987,1720 Rio Vista,Santa Maria,279500,2,2,1078.0
67,1072966,1029 Cortez,Santa Maria,359900,3,2,1680.0
68,1072961,1175 Via Pavion,Santa Maria,389000,3,2,1592.0
69,1072880,713 Riviera,Santa Maria,395000,3,2,1416.0
70,1072947,408 Sword,Santa Maria,519000,4,3,2654.0
71,1072622,1330 Winegrape,Templeton,879000,4,4,2937.0
72,1072933,306 Hondonada,Arroyo Grande,519000,2,2,1746.0
73,1072919,327 Corona Del Terra,Arroyo Grande,560000,3,2,1608.0
74,1072958,7777 Del Rio,Atascadero,555000,3,3,1902.0
75,1072528,6050 Brighton,Cambria,1390000,6,6,3120.0
76,1072953,613 Maple,King City,215000,3,2,1282.0
77,1072944,1213 Cypress,Lompoc,165000,2,2,972.0
78,1072932,1854 7th,Los Osos,499000,3,2,1080.0
79,1072934,240 Cheyenne,Paso Robles,489900,3,2,2263.0
80,1072905,1565 Kiler Canyon,Paso Robles,3500000,9,7,5555.0
81,1072946,3072 Rockview,San Luis Obispo,570000,2,3,1305.0
82,1072945,3098 Rockview,San Luis Obispo,575000,2,3,1305.0
83,1072948,3070 Rockview,San Luis Obispo,577500,2,3,1385.0
84,1072956,1466 Durham,Santa Maria,377017,3,3,1685.0
85,1072901,Address Not Available,Solvang,415000,2,1,1344.0
86,1072937,1010 Fava,Templeton,875000,4,4,2969.0
87,1072912,6553 Atascadero,Atascadero,379000,2,1,996.0
88,1072922,3225 San Fernando,Atascadero,785000,3,3,2547.0
89,1072867,1226 Main,Cambria,239000,2,2,1440.0
90,1072916,426 Cambridge,Cambria,949000,3,3,2537.0
91,1072909,180 Ash,Coalinga,152900,2,2,1370.0
