,MLSNumber,Street,City,Price,BR,Bath,Footage
92,1072915,1332 Locust,Lompoc,319900,3,2,1052.0
93,1072904,2212 Gaviota,Lompoc,379900,3,2,1840.0
94,1072687,609 Palomar,Lompoc,541000,4,3,2631.0
95,1072834,339 Centennial,Los Alamos,359000,2,1,759.0
96,1072920,650 Princeton,Out Of Area,189900,3,2,1610.0
97,1072928,141 Flag,Paso Robles,255000,2,2,1120.0
98,1072927,2560 Traditions Loop,Paso Robles,579000,3,2,2112.0
99,1072923,71 Valley View,Pismo Beach,840000,3,3,1997.0
100,1072917,464 Corrida,San Luis Obispo,649000,3,3,1665.0
101,1072906,10 Cottonwood,San Luis Obispo,699000,2,3,1710.0
102,1072781,3460 Santa Maria,Santa Maria,164900,2,2,882.0
103,1072926,1531 Penn,Santa Maria,436675,4,4,2174.0
104,1072902,792 Mahogany,Santa Maria,555000,2,2,1627.0
105,1072925,1400 Aarhus,Solvang,835200,3,3,3077.0
