MLSNumber, Street, City, BR, Bath, Footage, Price, PriceSqFt, County, Zone, Source, Date, URL
1071953,     350 Uranus,     Nipomo, 2, 2, 1248, 179900, 144.15064102564102,     SLO, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071953
1071976,     860 Peregrine,     Nipomo, 3, 2, 1656, 459000, 277.17391304347825,     SLO, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071976
1071968,     1911 Rambouillet,     Paso Robles, 4, 2, 2238, 574900, 256.8811438784629,     SLO, 4, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071968
1071789,     411 Foothill,     San Luis Obispo, 1, 1, 600, 289500, 482.5,     SLO, 1, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071789
1071929,     20 Villa,     San Luis Obispo, 2, 2, 1002, 430000, 429.1417165668663,     SLO, 1, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071929
1071947,     1612 Huckleberry,     San Luis Obispo, 4, 2, 2218, 895000, 403.51668169522094,     SLO, 1, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071947
1071951,     1206 East,     Santa Maria, 3, 1, 1080, 290000, 268.51851851851853,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071951
1071948,     1024 Colebrook,     Santa Maria, 3, 2, 1558, 299900, 192.49037227214387,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071948
1071802,     539 De Armond,     Santa Maria, 3, 2, 1203, 314900, 261.7622610141313,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071802
1071963,     425 Alvin,     Santa Maria, 3, 3, 1545, 353000, 228.4789644012945,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071963
1071941,     1740 Bayview,     Santa Maria, 3, 2, 1582, 369000, 233.24905183312262,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071941
1071972,     3741 Les Maisons,     Santa Maria, 3, 2, 1568, 395000, 251.91326530612244,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071972
1071949,     1244 Highland,     Santa Ynez, 5, 3, 2558, 1150000, 449.5699765441751,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071949
1071952,     3140 Box Canyon,     Santa Ynez, 4, 4, 3886, 2395000, 616.3149768399383,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071952
1071906,     581 Pine,     Solvang, 3, 1, 1399, 619000, 442.45889921372407,     SB, 0, 0,     October 10,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071906
1071806,     Address Not Available,     Atascadero, 2, 2, 1066, 265000, 248.5928705440901,     SLO, 3, 0,     October 9,     http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071806
