,MLSNumber,Street,City,Price,BR,Bath,Footage
0,1073243,1190 Fair Oaks,Arroyo Grande,549000,4,3,1460.0
1,1073213,2221 Emerson,Cambria,479500,3,2,1280.0
2,1073136,646 Worcester,Cambria,649000,3,2,1977.0
3,1073246,151 Surf Bird,Guadalupe,364000,4,2,1619.0
4,1073234,125 3rd,Lompoc,303000,3,2,1459.0
5,1073239,828 Cherry,Lompoc,339000,3,2,1871.0
6,1073223,1190 Green Oaks,Los Osos,480000,3,2,1719.0
7,1073222,2430 Barn,Paso Robles,294900,3,2,1424.0
8,1073195,1682 Kleck,Paso Robles,679000,4,4,2681.0
9,1073220,1608 Costa Brava,Pismo Beach,950000,3,3,2030.0
10,1073219,2525 Lazy Hill,San Miguel,575000,4,3,2158.0
11,1073238,705 Hawthorn,Santa Maria,335000,3,2,1251.0
12,1073203,1449 Hartford,Santa Maria,363716,3,2,1506.0
13,1073245,803 Millstone,Santa Maria,395000,4,2,1414.0
14,1073235,2800 Ontiveros,Santa Ynez,4300000,4,7,8046.0
15,1073180,633 Valley Oak,Solvang,800200,3,3,1959.0
16,1073200,9455 Casa Bella,Atascadero,439000,3,3,1903.0
17,1073182,7397 San Gabriel,Atascadero,649000,4,2,2250.0
18,1073192,373 Travis,Los Osos,1100000,3,3,2838.0
19,1073201,600 Morro Bay,Morro Bay,375000,1,2,934.0
20,1073197,121 Knotts,Nipomo,399900,3,2,1220.0
21,1073189,186 Cary,Nipomo,425000,3,3,1352.0
22,1073190,740 Vista Del Rio,Nipomo,748800,4,3,3097.0
23,1073184,2700 Cienaga,Oceano,239000,3,2,1440.0
24,1073188,15185 Amaral,Out Of Area,949000,3,5,3554.0
25,1073191,4144 Peruvian,Paso Robles,260000,3,2,1760.0
26,1072952,1490 Prefumo Canyon,San Luis Obispo,525000,3,2,1364.0
27,1072412,6060 Gallant,San Luis Obispo,749000,3,2,2035.0
28,1073008,17171 Nuevo,Santa Margarita,799000,3,2,1711.0
29,1073204,1181 Sumner,Santa Maria,269000,3,2,1125.0
30,1073198,3925 Silver Leaf,Santa Maria,299000,4,2,1206.0
31,1073179,2212 Almond,Santa Maria,310000,3,2,1137.0
32,1073209,724 Ranier,Santa Maria,345000,3,2,1354.0
33,1073194,1029 Blue Lake,Santa Maria,349900,3,2,1261.0
34,1073208,770 Dahlia,Santa Maria,349900,3,2,1124.0
35,1073139,512 Church,Santa Maria,365000,3,2,1398.0
36,1073181,765 Mesa View,Arroyo Grande,179900,3,2,1325.0
37,1073177,171 Janet,Grover Beach,369700,2,1,900.0
38,1073172,4827 Almaguer,Guadalupe,235000,3,2,1013.0
39,1073174,2461 Grand,Los Olivos,1050000,4,4,2275.0
40,1073183,1749 Trilogy,Nipomo,1099000,3,4,3241.0
41,1073171,2056 Wood Duck,Paso Robles,325000,3,2,1270.0
42,1073178,665 Valley Oak,Solvang,821750,3,3,2168.0
43,1073168,266 Rodeo,Arroyo Grande,775000,3,2,2500.0
44,1073158,4683 Morales,New Cuyama,149000,5,3,1176.0
45,1073160,2036 Summit,Paso Robles,585000,3,3,2464.0
46,1073159,802 Vista Grande,Paso Robles,639000,5,4,2831.0
47,1073157,853 Fellowship,Santa Barbara,1199900,3,3,1440.0
48,1073164,610 Sunrise,Santa Maria,239900,3,2,1128.0
49,1073166,309 Dressler,Santa Maria,457901,3,2,1570.0
50,1073165,1888 Silva,Santa Maria,536000,3,3,1725.0
51,1073153,9361 Riberena,Atascadero,419900,3,3,1999.0
52,1073156,435 Pico,San Simeon,790000,1,1,1100.0
53,1073142,731 Edgewood,Santa Maria,359900,3,2,1124.0
54,1073144,901 Sheffield,Cambria,369000,2,2,1529.0
55,1073146,3366 Via Arnez,Lompoc,295000,3,2,1247.0
56,1073125,901 Player,Paso Robles,380000,3,2,1154.0
57,1073147,1343 Amarone,Santa Maria,329500,3,2,1206.0
58,1073124,1242 Camino Del Robles,Atascadero,75000,2,1,643.0
59,1073132,1228 Camino Del Robles,Atascadero,185000,2,2,1080.0
60,1073134,1207 Fallen Leaf,Atascadero,190000,2,2,1101.0
61,1073096,4100 Nogales,Atascadero,440000,3,2,1770.0
62,1073121,812 6th,Lompoc,329900,3,2,1272.0
63,1073145,912 Northpoint,Lompoc,351000,4,2,1600.0
64,1073123,1183 Santa Ynez,Los Osos,184000,1,1,538.0
65,1073095,1207 Dorothy,Paso Robles,379900,3,2,1026.0
66,1073138,132 Via Camelia,Paso Robles,529000,3,3,2073.0
67,1073133,9906 Sunfish,Paso Robles,619500,4,2,2327.0
68,1073140,1353 Costa Brava,Pismo Beach,1299000,3,2,2059.0
69,1073102,136 Middle,Santa Barbara,8250000,5,7,6630.0
70,1073143,1619 Western,Santa Maria,295000,3,2,1053.0
71,1073130,2410 Divide,Santa Maria,349000,3,2,1555.0
72,1073141,1751 Bilbao,Santa Maria,359000,3,3,2128.0
73,1073109,3680 Angeles,Santa Maria,365000,3,2,1322.0
74,1073129,308 Concord,Santa Maria,409777,4,3,2400.0
75,1073092,2920 Tall Pine,Santa Ynez,1115000,3,3,2788.0
