,MLSNumber,Street,City,Price,BR,Bath,Footage,PricePerSqft,Zipcode
74,1071302,2919 Cottage,Paso Robles,375000,3,3,1481.0,253.20729237002027,93446
75,1071306,1639 Summer Creek,Paso Robles,398500,3,2,1430.0,278.6713286713287,93446
76,1071308,860 Sunshine,Santa Maria,445000,3,2,1818.0,244.77447744774477,93455
77,1067213,5240 Oakhurst,Cambria,599000,4,3,2080.0,287.9807692307692,93428
78,1067214,727 Red Cloud,Paso Robles,679000,4,3,3000.0,226.33333333333334,93446
79,1071313,932 Ridge View,Santa Maria,119900,2,2,1176.0,101.95578231292517,93455
80,1067220,80 Sandalwood,Solvang,675000,3,3,2524.0,267.43264659271,93463
81,1071321,390 San Luis,Pismo Beach,825000,3,4,1566.0,526.8199233716475,93449
82,1071323,180 3rd,Shandon,270000,4,3,1596.0,169.17293233082708,93461
83,1071325,1647 McCollum,San Luis Obispo,849000,3,2,1395.0,608.6021505376344,93405
84,1071327,4191 Morning Ridge,Santa Maria,359900,3,2,1304.0,275.99693251533745,93455
85,1071497,484 Ash,Los Osos,535000,2,2,1674.0,319.5937873357228,93402
86,1071329,6345 Marchant,Atascadero,309900,1,1,816.0,379.77941176470586,93422
87,1065196,1015 Ladan,Ballard,3345000,5,7,6215.0,538.2139983909896,93463
88,1073066,2240 Diesel,Santa Maria,399950,4,3,1822.0,219.51152579582876,93458
89,1070120,110 Narlene,Pismo Beach,623900,3,3,1479.0,421.8390804597701,93449
90,1071634,1323 23rd,Oceano,539000,4,2,1817.0,296.64281783159055,93445
91,1070121,2300 Arciero,Paso Robles,439000,3,2,1477.0,297.2241029113067,93446
92,1071352,884 Blake,Santa Maria,498500,3,3,2186.0,228.04208600182983,93455
93,1071354,3860 Higuera,San Luis Obispo,75000,2,1,800.0,93.75,93401
94,1071356,474 Yerba Buena,Morro Bay,379000,1,1,720.0,526.3888888888889,93442
95,1071361,5388 Barrenda,Atascadero,399900,3,3,1528.0,261.71465968586386,93422
96,1055745,3126 Shearer,Cayucos,749000,3,2,1700.0,440.5882352941176,93430
97,1069319,1502 Goldsmith,Santa Maria,789000,4,4,4118.0,191.59786304031084,93454
98,1071989,971 Rachel,San Luis Obispo,856024,2,3,1775.0,482.26704225352114,93401
99,1070271,1460 25th,Oceano,489990,3,2,1583.0,309.53253316487684,93445
100,1071375,5480 Oakhurst,Cambria,799000,4,3,3429.0,233.01254009915428,93428
101,1071376,464 Violet,Nipomo,449900,3,2,1466.0,306.88949522510234,93444
102,1069331,750 Chalk Hill,Solvang,1648000,3,3,3111.0,529.7332047573127,93463
103,1071380,353 Odense,Buellton,539000,3,3,1545.0,348.8673139158576,93427
104,1069333,470 Pismo,San Luis Obispo,1275000,5,3,2578.0,494.5694336695112,93401
105,1069334,1208 Fesler,Santa Maria,225000,2,3,1594.0,141.1543287327478,93454
106,1071383,900 Kingston,Santa Maria,270000,5,3,1708.0,158.07962529274005,93458
107,1071384,541 Bakeman,Arroyo Grande,390000,2,1,1008.0,386.9047619047619,93420
108,1070127,1830 Laurel,Solvang,595000,4,3,1264.0,470.7278481012658,93463
109,1071388,1860 6th,Los Osos,604900,3,2,1716.0,352.5058275058275,93402
110,1071389,2719 Lookout Loop,Bradley,949000,5,4,3571.0,265.75189022682724,93426
112,1067943,1974 Northwood,Nipomo,999900,3,4,3241.0,308.51589015735885,93444
113,1065256,4310 Foxenwood,Santa Maria,520000,2,2,2144.0,242.53731343283582,93455
114,1069249,908 Moody,Paso Robles,425000,3,2,1411.0,301.2048192771084,93446
115,1071404,1650 Clark,Santa Maria,43900,2,2,1056.0,41.571969696969695,93455
116,1071409,2253 Barn,Paso Robles,299950,3,2,1512.0,198.37962962962962,93446
117,1071410,421 Cook,Santa Maria,343000,3,2,1307.0,262.43305279265496,93454
118,1071411,382 Village Glen,Arroyo Grande,939900,5,3,2781.0,337.97195253505936,93420
119,1071415,1730 Capitola,Santa Maria,395000,3,3,1965.0,201.0178117048346,93458
120,1071839,525 Grande,Nipomo,184500,1,1,400.0,461.25,93444
121,1068427,69 San Miguel,Avila Beach,1195000,3,3,1523.0,784.6355876559422,93424
122,1065284,210 Meadowlark,Paso Robles,565000,4,3,2460.0,229.6747967479675,93446
123,1071429,703 El Camino,Santa Maria,359000,4,2,1368.0,262.4269005847953,93454
124,1071431,309 Camino Lobo,Paso Robles,332000,3,2,1176.0,282.312925170068,93446
125,1069057,1177 Ash,Arroyo Grande,485000,4,2,1560.0,310.8974358974359,93420
126,1071434,206 Vincente,Pismo Beach,999500,3,4,2027.0,493.0932412432166,93449
127,1071435,382 South Court,Los Osos,625000,3,2,1556.0,401.67095115681235,93402
128,1071437,3201 Tide,Morro Bay,430000,2,2,854.0,503.5128805620609,93442
129,1071440,9575 Lake View,Atascadero,569000,3,2,1936.0,293.90495867768595,93422
130,1071441,1257 Hans Park,Solvang,818427,4,4,2304.0,355.2200520833333,93463
131,1071443,1558 Costa Brava,Pismo Beach,1155500,3,4,2012.0,574.3041749502983,93449
132,1071444,1600 Garden,Santa Barbara,579900,2,2,871.0,665.7864523536165,93101
133,1071446,428 Appaloosa,Paso Robles,417500,3,2,1470.0,284.01360544217687,93446
134,1071447,3663 San Remo,Santa Barbara,529900,2,2,1127.0,470.18633540372673,93105
135,1069400,781 Juniper,Nipomo,589000,4,4,2186.0,269.44190301921316,93444
136,1073067,633 Laura,Paso Robles,355000,3,2,1174.0,302.38500851788757,93446
137,1069402,508 Rose,Santa Maria,379900,3,2,1689.0,224.92599171107165,93454
138,1071451,1914 Melanie,Santa Maria,365000,3,2,1398.0,261.08726752503577,93454
139,1071452,502 Lucas,Santa Maria,329990,3,2,1652.0,199.75181598062954,93454
140,1070138,3057 Higuera,San Luis Obispo,215000,2,2,1488.0,144.48924731182797,93401
141,1067359,3600 Ardilla,Atascadero,559000,3,3,2042.0,273.7512242899119,93422
142,1071457,1243 Roxy,Santa Maria,349000,3,2,1198.0,291.3188647746244,93455
143,1069410,4640 Whispering Oak,Paso Robles,360000,3,2,1328.0,271.0843373493976,93446
144,1070139,14030 San Miguel,Atascadero,1295000,4,4,3233.0,400.556758428704,93422
145,1071462,3340 Rockview,San Luis Obispo,415000,2,2,1436.0,288.99721448467966,93401
146,1063272,5219 Camino Cielo,Santa Barbara,4495000,5,4,6000.0,749.1666666666666,93105
147,1071467,927 School,Santa Maria,419900,3,3,2018.0,208.0773042616452,93454
148,1071468,9009 Cemetery,San Miguel,789000,4,3,3438.0,229.49389179755673,93446
149,1071506,320 Casa Real,Nipomo,679000,3,3,2374.0,286.0151642796967,93444
151,1069424,395 Crestmont,San Luis Obispo,1350000,5,5,4100.0,329.2682926829268,93401
152,1069425,597 Valley Oak,Solvang,801795,3,3,2028.0,395.36242603550295,93463
153,1072934,240 Cheyenne,Paso Robles,489900,3,2,2263.0,216.4825452938577,93446
154,1069429,1875 Santa Rita,Templeton,1198900,3,3,2700.0,444.037037037037,93465
155,1072999,2710 Geneseo,Paso Robles,699000,7,7,3198.0,218.57410881801127,93446
156,1071485,1472 Ash,Arroyo Grande,482900,3,2,1364.0,354.03225806451616,93420
157,1071486,963 Silver Dollar,Nipomo,928000,4,3,3343.0,277.5949745737362,93444
158,1071489,1513 Fulton,Santa Maria,379474,3,2,1506.0,251.97476759628154,93458
159,1069445,556 Hathway,San Luis Obispo,580000,2,1,784.0,739.795918367347,93405
160,1070145,560 Foothill,Pismo Beach,419900,1,1,887.0,473.3934611048478,93449
161,1069449,135 Florin,Pismo Beach,1425000,3,2,2126.0,670.2728127939793,93449
162,1069452,1486 Gulf,San Luis Obispo,555000,4,2,1385.0,400.72202166064983,93405
163,1068098,411 Oak Hill,Lompoc,799000,4,3,3000.0,266.3333333333333,93436
164,1071502,1650 Clark,Santa Maria,70000,2,2,1440.0,48.611111111111114,93455
165,1072877,5701 Calle de la Rosa,Santa Maria,539000,3,2,1892.0,284.8837209302326,93455
166,1069458,425 B,Lompoc,326900,4,2,1328.0,246.15963855421685,93436
167,1071507,1427 Dartmouth,Clovis,719000,5,4,3963.0,181.42821095129952,93619
168,1063316,2868 Lands End,Bradley,1800000,4,5,4400.0,409.09090909090907,93426
169,1071510,290 Ocean Oaks,Avila Beach,895000,1,3,1173.0,763.000852514919,93424
170,1070071,1320 Oceanaire,San Luis Obispo,799000,2,2,1781.0,448.6243683323975,93405
171,1061272,2893 Stadium,Solvang,619000,3,3,2096.0,295.32442748091603,93463
172,1070753,441 Ocean View,Pismo Beach,485000,3,3,1122.0,432.2638146167558,93449
173,1071515,1230 Clarabelle,Morro Bay,985000,3,3,1865.0,528.1501340482574,93442
174,1069468,3210 Santa Maria,Santa Maria,32000,2,2,1080.0,29.62962962962963,93455
175,1065373,2139 Avenida Riviera,Santa Maria,149000,2,2,1704.0,87.44131455399061,93458
176,1067422,4495 Lobos,Atascadero,438900,3,3,1672.0,262.5,93422
177,1066054,519 Embassy,Santa Maria,305000,3,2,1294.0,235.70324574961361,93458
178,1071529,6115 Via Huerto,Atascadero,549900,4,2,2295.0,239.6078431372549,93422
179,1064775,2976 Barberry,Lompoc,428000,4,3,2596.0,164.86902927580894,93436
180,1071531,8330 Del Rio,Atascadero,798800,4,4,2169.0,368.2803135085293,93422
181,1071533,170 Boeker,Pismo Beach,749000,3,3,1564.0,478.9002557544757,93449
182,1066397,765 Mesa View,Arroyo Grande,79000,2,1,1300.0,60.76923076923077,93420
183,1071536,375 San Luis,Pismo Beach,779000,2,3,1389.0,560.8351331893449,93449
184,1071537,2499 Starling,Paso Robles,450000,3,2,1945.0,231.3624678663239,93446
185,1071538,820 Via Laguna Vista,San Luis Obispo,1695000,5,5,5209.0,325.39834901132656,93405
186,1069491,372 Puesta Del Sol,Arroyo Grande,699900,3,2,1926.0,363.3956386292835,93420
187,1071540,936 Jacqueline,Nipomo,749900,3,3,2470.0,303.60323886639674,93444
188,1069494,3476 Willow,Santa Ynez,659000,3,2,1758.0,374.85779294653014,93460
189,1071544,2859 Stadium,Solvang,669000,3,3,2477.0,270.08477997577717,93463
190,1071860,59 8th,Templeton,398000,3,3,1475.0,269.8305084745763,93465
191,1071547,1039 Ford,Nipomo,555000,2,2,1429.0,388.3834849545136,93444
192,1071548,115 Booker,Templeton,1299000,2,2,1740.0,746.551724137931,93465
193,1071549,6150 Balm Ridge,San Luis Obispo,1899000,4,3,3253.0,583.7688287734399,93401
194,1071550,879 Alina,Nipomo,460000,3,2,1444.0,318.5595567867036,93444
195,1071551,9104 Saint Cloud,Bakersfield,809000,4,5,5553.0,145.68701602737258,93311
196,1071552,175 Kern,Morro Bay,1350000,3,2,2381.0,566.9886602267954,93442
197,1069505,1065 La Costa,Atascadero,325000,3,3,1261.0,257.7319587628866,93422
198,1071554,2397 Janin,Solvang,979000,3,2,2198.0,445.4049135577798,93463
199,1071555,7620 Sinaloa,Atascadero,410000,2,2,1116.0,367.38351254480284,93422
200,1057220,5275 El Verano,Atascadero,525000,3,3,2586.0,203.01624129930394,93422
201,1071557,2721 Santa Barbara,Los Olivos,1469000,4,4,3000.0,489.6666666666667,93463
202,1071558,640 Mentone,Grover Beach,449900,3,2,1280.0,351.484375,93433
203,1070497,111 Morro,Pismo Beach,729000,3,2,1295.0,562.934362934363,93449
204,1071560,10438 Fieldstone,Clovis,332333,4,3,2344.0,141.78029010238907,93619
205,1071561,3251 Via Ensenada,San Luis Obispo,474000,2,3,1389.0,341.2526997840173,93401
206,1067466,2750 San Marcos,Los Olivos,759000,3,2,1540.0,492.85714285714283,93441
207,1071564,1456 Tatum,Santa Maria,429000,4,3,2019.0,212.481426448737,93455
208,1071565,8888 Carrisa Hy Rt#-58,Santa Margarita,525000,2,2,3139.0,167.25071678878624,93453
209,1071566,14870 El Camino Real,Atascadero,785000,3,2,2319.0,338.50797757654163,93422
210,1069519,1190 Santa Ynez,Los Osos,289000,2,2,864.0,334.49074074074076,93402
211,1071570,1005 Sunday,Nipomo,819000,3,3,2248.0,364.3238434163701,93444
212,1067475,2939 Hemlock,Morro Bay,399000,1,1,560.0,712.5,93442
213,1071573,4936 Point Sal Dunes,Guadalupe,352000,4,2,1690.0,208.28402366863907,93434
214,1071574,872 Sycamore Canyon,Paso Robles,519900,4,3,2648.0,196.3368580060423,93446
215,1071577,1398 Bennett,Templeton,735000,4,3,2342.0,313.8343296327925,93465
216,1071578,229 Luneta,San Luis Obispo,899000,4,2,1975.0,455.1898734177215,93405
217,1071580,2260 Central Park,Santa Maria,275000,2,2,1076.0,255.57620817843866,93458
218,1071581,1262 Manzanita,San Luis Obispo,569000,2,3,1537.0,370.2016916070267,93401
219,1071582,27 Quail Ridge,Atascadero,299900,2,2,1208.0,248.26158940397352,93422
220,1067487,888 Fredensborg Canyon,Solvang,669750,5,4,2980.0,224.748322147651,93463
221,1071585,2279 Tattler,Arroyo Grande,840000,3,3,2435.0,344.96919917864477,93420
222,1071587,5065 Stagg Hill,Paso Robles,619900,4,2,2293.0,270.34452682075886,93446
223,1071588,3093 Robinwood,Fresno,273750,3,2,1947.0,140.6009244992296,93711
224,1071589,822 Greenacre,Santa Maria,285000,2,2,1440.0,197.91666666666666,93455
225,1068113,765 Mesa View,Arroyo Grande,135000,3,2,1248.0,108.17307692307692,93420
226,1071592,1323 20th,Oceano,449999,3,2,1289.0,349.10705973622964,93445
227,1067497,1231 Via Alta,Santa Maria,374900,4,2,1288.0,291.07142857142856,93455
228,1071594,962 Margarita,Grover Beach,795000,4,3,2570.0,309.33852140077823,93433
229,1070142,9955 Garcero,Atascadero,749000,3,3,2414.0,310.2734051367026,93422
230,1071597,9540 Avonne,San Simeon,97000,2,1,770.0,125.97402597402598,93452
231,1071599,509 Creekside,Paso Robles,487500,3,2,1829.0,266.5390924002187,93446
232,1071600,672 Oakridge,San Luis Obispo,1950000,5,7,5190.0,375.7225433526012,93405
233,1071602,424 Uranus,Nipomo,309900,4,2,1840.0,168.42391304347825,93444
234,1071603,4000 Ardilla,Atascadero,475000,3,2,1684.0,282.0665083135392,93422
235,1071604,475 South Bay,Morro Bay,139000,1,1,900.0,154.44444444444446,93442
236,1071605,433 Junipero,San Luis Obispo,734900,3,3,1965.0,373.99491094147584,93401
237,1071606,1765 13th,Los Osos,629000,3,4,2050.0,306.8292682926829,93402
238,1071607,1555 Oak Bluffs,Santa Maria,689900,4,3,3100.0,222.5483870967742,93455
239,1071608,3470 Ranchita Canyon,San Miguel,3500000,3,3,2600.0,1346.1538461538462,93451
240,1071609,9278 Highway 101,Los Alamos,109000,2,2,1100.0,99.0909090909091,93440
